taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
10207808	Tetramorium indocile Santschi, 1927	10207808	Tetramorium indocile Santschi, 1927	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tetramorium	1323128	Tetramorium indocile	10207808	NE
1271731	Phaedrotoma depeculator Forster, 1862	1271731	Phaedrotoma depeculator Forster, 1862	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Phaedrotoma	1271632	Phaedrotoma depeculator	1271731	NE
1358165	Andrena barbilabris (Kirby, 1802)	1358165	Andrena barbilabris (Kirby, 1802)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena barbilabris	1358165	NE
1399912	Platygaster eriphyle Walker, 1836	1399912	Platygaster eriphyle Walker, 1836	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Platygastridae	4348	Platygaster	1364589	Platygaster eriphyle	1399912	NE
9693136	Andrena vulcana ferina Warncke, 1968	1356991	Andrena vulcana Dours, 1873	9	SUBSPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena vulcana	1356991	
1358028	Andrena elata Warncke, 1975	1358028	Andrena elata Warncke, 1975	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena elata	1358028	DD
1357073	Andrena hedikae Jaeger, 1934	1357073	Andrena hedikae Jaeger, 1934	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena hedikae	1357073	NE
4494169	Hedychrum rutilans Dahlbom, 1854	4494169	Hedychrum rutilans Dahlbom, 1854	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Chrysididae	7903	Hedychrum	4494164	Hedychrum rutilans	4494169	NE
9479890	Cleruchus polypori Triapitsyn & Moraal, 2008	9479890	Cleruchus polypori Triapitsyn & Moraal, 2008	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Mymaridae	9444	Cleruchus	1366903	Cleruchus polypori	9479890	NE
1356982	Andrena minutuloides Perkins, 1914	1356982	Andrena minutuloides Perkins, 1914	17	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena minutuloides	1356982	NE
5035204	Solenopsis fugax (Latreille, 1798)	5035204	Solenopsis fugax (Latreille, 1798)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Solenopsis	9107211	Solenopsis fugax	5035204	NE
1320321	Strumigenys rogeri Emery, 1890	1320321	Strumigenys rogeri Emery, 1890	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Strumigenys	1320203	Strumigenys rogeri	1320321	NE
1357176	Andrena villipes Pérez, 1895	1357176	Andrena villipes Pérez, 1895	22	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena villipes	1357176	NE
1400356	Amblyaspis roboris (Haliday, 1836)	1400356	Amblyaspis roboris (Haliday, 1836)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Platygastridae	4348	Amblyaspis	1400355	Amblyaspis roboris	1400356	NE
5044410	Gonatocerus fuscicornis (Walker, 1846)	5044410	Gonatocerus fuscicornis (Walker, 1846)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Mymaridae	9444	Gonatocerus	1367678	Gonatocerus fuscicornis	5044410	NE
4503744	Basalys parva (Thomson, 1859)	4503744	Basalys parva (Thomson, 1859)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Diapriidae	2790	Basalys	4503691	Basalys parva	4503744	NE
